Product Name,Category
Wheat Flour,Grains & Staples
Dishwashing Liquid,Household
Pastry,Bakery
Marker,Stationery & Books
Saree,Clothing & Lifestyle
Spinach,Fruits & Vegetables
Face Wash,Personal Care & Health
Energy Drink,Beverages
Mixer Grinder,Electronics
Fish,Meat & Seafood
Apple,Fruits & Vegetables
Cookies,Bakery
Chicken Breast,Meat & Seafood
Butter,Dairy & Eggs
Dress,Clothing & Lifestyle
Vitamins,Personal Care & Health
Dishwashing Liquid,Household
Apple,Fruits & Vegetables
Pastry,Bakery
Salt,Grains & Staples
Notebook,Stationery & Books
Tissue,Household
Biscuits,Snacks
Cookies,Bakery
Energy Drink,Beverages
Chicken Breast,Meat & Seafood
Electric Kettle,Electronics
Face Wash,Personal Care & Health
Croissant,Bakery
Electric Kettle,Electronics
Soda,Beverages
Earphones,Electronics
Cookies,Bakery
Wheat Flour,Grains & Staples
Onion,Fruits & Vegetables
Phone Cover,Electronics
Cooking Oil,Grains & Staples
Cookies,Bakery
Chicken Breast,Meat & Seafood
Chocolate,Snacks
Croissant,Bakery
Sugar,Grains & Staples
Soda,Beverages
Tea,Beverages
Carrot,Fruits & Vegetables
Yogurt,Dairy & Eggs
Milk,Dairy & Eggs
Soap,Personal Care & Health
Chocolate,Snacks
Energy Drink,Beverages
Charger,Electronics
Shampoo,Personal Care & Health
Banana,Fruits & Vegetables
Charger,Electronics
Popcorn,Snacks
Chicken Breast,Meat & Seafood
Spinach,Fruits & Vegetables
Rice,Grains & Staples
Earphones,Electronics
Pain Reliever,Personal Care & Health
Pen,Stationery & Books
Sugar,Grains & Staples
Lentils,Grains & Staples
Floor Cleaner,Household
Tissue,Household
Spinach,Fruits & Vegetables
Shampoo,Personal Care & Health
Coffee,Beverages
Chocolate,Snacks
Tea,Beverages
Face Wash,Personal Care & Health
Diapers,Baby Care
Notebook,Stationery & Books
Baby Food,Baby Care
Popcorn,Snacks
Chocolate,Snacks
Apple,Fruits & Vegetables
Tea,Beverages
Eggs,Dairy & Eggs
Saree,Clothing & Lifestyle
Fish,Meat & Seafood
Vitamins,Personal Care & Health
Biscuits,Snacks
Tissue,Household
Tissue,Household
Tomato,Fruits & Vegetables
Mixer Grinder,Electronics
Tea,Beverages
Banana,Fruits & Vegetables
Cake,Bakery
Floor Cleaner,Household
Shoes,Clothing & Lifestyle
Apple,Fruits & Vegetables
Chocolate,Snacks
Popcorn,Snacks
Orange,Fruits & Vegetables
Diapers,Baby Care
Pain Reliever,Personal Care & Health
Shirt,Clothing & Lifestyle
Coffee,Beverages
Dress,Clothing & Lifestyle
Croissant,Bakery
Prawns,Meat & Seafood
Juice,Beverages
Shampoo,Personal Care & Health
Rice,Grains & Staples
Lentils,Grains & Staples
Spices,Grains & Staples
Pastry,Bakery
Tissue,Household
Shampoo,Personal Care & Health
Dress,Clothing & Lifestyle
Electric Kettle,Electronics
Toilet Paper,Household
Orange,Fruits & Vegetables
Dishwashing Liquid,Household
Chips,Snacks
Wheat Flour,Grains & Staples
Energy Drink,Beverages
Beef,Meat & Seafood
Detergent,Household
Tea,Beverages
Chicken Breast,Meat & Seafood
Bread,Bakery
Potato,Fruits & Vegetables
Shampoo,Personal Care & Health
Toothpaste,Personal Care & Health
Spinach,Fruits & Vegetables
Croissant,Bakery
Spices,Grains & Staples
Toothpaste,Personal Care & Health
Spices,Grains & Staples
Sugar,Grains & Staples
Prawns,Meat & Seafood
Marker,Stationery & Books
Salt,Grains & Staples
Dress,Clothing & Lifestyle
Toothpaste,Personal Care & Health
Floor Cleaner,Household
Educational Book,Stationery & Books
Pen,Stationery & Books
Detergent,Household
Butter,Dairy & Eggs
Pasta,Grains & Staples
Toilet Paper,Household
Salt,Grains & Staples
Fiction Book,Stationery & Books
Spices,Grains & Staples
Marker,Stationery & Books
Chips,Snacks
Marker,Stationery & Books
Dress,Clothing & Lifestyle
Cooking Oil,Grains & Staples
Pasta,Grains & Staples
Shoes,Clothing & Lifestyle
Pastry,Bakery
Jeans,Clothing & Lifestyle
Banana,Fruits & Vegetables
Cookies,Bakery
Beef,Meat & Seafood
Phone Cover,Electronics
Tea,Beverages
Pastry,Bakery
Yogurt,Dairy & Eggs
Spices,Grains & Staples
Toilet Paper,Household
Soda,Beverages
Electric Kettle,Electronics
Pen,Stationery & Books
Popcorn,Snacks
Diapers,Baby Care
