Product Name,Category
wheat flour,Grains & Staples
dishwashing liquid,Household
pastry,Bakery
marker,Stationery & Books
saree,Clothing & Lifestyle
spinach,Fruits & Vegetables
face wash,Personal Care & Health
energy drink,Beverages
mixer grinder,Electronics
fish,Meat & Seafood
apple,Fruits & Vegetables
cookies,Bakery
chicken breast,Meat & Seafood
butter,Dairy & Eggs
dress,Clothing & Lifestyle
vitamins,Personal Care & Health
dishwashing liquid,Household
apple,Fruits & Vegetables
pastry,Bakery
salt,Grains & Staples
notebook,Stationery & Books
tissue,Household
biscuits,Snacks
cookies,Bakery
energy drink,Beverages
chicken breast,Meat & Seafood
electric kettle,Electronics
face wash,Personal Care & Health
croissant,Bakery
electric kettle,Electronics
soda,Beverages
earphones,Electronics
cookies,Bakery
wheat flour,Grains & Staples
onion,Fruits & Vegetables
phone cover,Electronics
cooking oil,Grains & Staples
cookies,Bakery
chicken breast,Meat & Seafood
chocolate,Snacks
croissant,Bakery
sugar,Grains & Staples
soda,Beverages
tea,Beverages
carrot,Fruits & Vegetables
yogurt,Dairy & Eggs
milk,Dairy & Eggs
soap,Personal Care & Health
chocolate,Snacks
energy drink,Beverages
charger,Electronics
shampoo,Personal Care & Health
banana,Fruits & Vegetables
charger,Electronics
popcorn,Snacks
chicken breast,Meat & Seafood
spinach,Fruits & Vegetables
rice,Grains & Staples
earphones,Electronics
pain reliever,Personal Care & Health
pen,Stationery & Books
sugar,Grains & Staples
lentils,Grains & Staples
floor cleaner,Household
tissue,Household
spinach,Fruits & Vegetables
shampoo,Personal Care & Health
coffee,Beverages
chocolate,Snacks
tea,Beverages
face wash,Personal Care & Health
diapers,Baby Care
notebook,Stationery & Books
baby food,Baby Care
popcorn,Snacks
chocolate,Snacks
apple,Fruits & Vegetables
tea,Beverages
eggs,Dairy & Eggs
saree,Clothing & Lifestyle
fish,Meat & Seafood
vitamins,Personal Care & Health
biscuits,Snacks
tissue,Household
tissue,Household
tomato,Fruits & Vegetables
mixer grinder,Electronics
tea,Beverages
banana,Fruits & Vegetables
cake,Bakery
floor cleaner,Household
shoes,Clothing & Lifestyle
apple,Fruits & Vegetables
chocolate,Snacks
popcorn,Snacks
orange,Fruits & Vegetables
diapers,Baby Care
pain reliever,Personal Care & Health
shirt,Clothing & Lifestyle
coffee,Beverages
dress,Clothing & Lifestyle
croissant,Bakery
prawns,Meat & Seafood
juice,Beverages
shampoo,Personal Care & Health
rice,Grains & Staples
lentils,Grains & Staples
spices,Grains & Staples
pastry,Bakery
tissue,Household
shampoo,Personal Care & Health
dress,Clothing & Lifestyle
electric kettle,Electronics
toilet paper,Household
orange,Fruits & Vegetables
dishwashing liquid,Household
chips,Snacks
wheat flour,Grains & Staples
energy drink,Beverages
beef,Meat & Seafood
detergent,Household
tea,Beverages
chicken breast,Meat & Seafood
bread,Bakery
potato,Fruits & Vegetables
shampoo,Personal Care & Health
toothpaste,Personal Care & Health
spinach,Fruits & Vegetables
croissant,Bakery
spices,Grains & Staples
toothpaste,Personal Care & Health
spices,Grains & Staples
sugar,Grains & Staples
prawns,Meat & Seafood
marker,Stationery & Books
salt,Grains & Staples
dress,Clothing & Lifestyle
toothpaste,Personal Care & Health
floor cleaner,Household
educational book,Stationery & Books
pen,Stationery & Books
detergent,Household
butter,Dairy & Eggs
pasta,Grains & Staples
toilet paper,Household
salt,Grains & Staples
fiction book,Stationery & Books
spices,Grains & Staples
marker,Stationery & Books
chips,Snacks
marker,Stationery & Books
dress,Clothing & Lifestyle
cooking oil,Grains & Staples
pasta,Grains & Staples
shoes,Clothing & Lifestyle
pastry,Bakery
jeans,Clothing & Lifestyle
banana,Fruits & Vegetables
cookies,Bakery
beef,Meat & Seafood
phone cover,Electronics
tea,Beverages
pastry,Bakery
yogurt,Dairy & Eggs
spices,Grains & Staples
toilet paper,Household
soda,Beverages
electric kettle,Electronics
pen,Stationery & Books
popcorn,Snacks
diapers,Baby Care
detergent,Household
shoes,Clothing & Lifestyle
cookies,Bakery
eggs,Dairy & Eggs
toilet paper,Household
saree,Clothing & Lifestyle
pen,Stationery & Books
cheese,Dairy & Eggs
electric kettle,Electronics
tea,Beverages
salt,Grains & Staples
baby food,Baby Care
dress,Clothing & Lifestyle
pain reliever,Personal Care & Health
detergent,Household
mixer grinder,Electronics
orange,Fruits & Vegetables
orange,Fruits & Vegetables
