order_id,user_id,order_date,time,order_hour_of_day,product_name,quantity,price,category,product_id
1000,341,2024-09-04,15:43:00,15,Wheat Flour,1,333.44,Grains & Staples,457
1000,341,2024-09-04,15:43:00,15,Dishwashing Liquid,2,405.92,Household,745
1000,341,2024-09-04,15:43:00,15,Pastry,2,114.15,Bakery,849
1000,341,2024-09-04,15:43:00,15,Marker,2,171.33,Stationery,599
1001,324,2024-03-07,8:45:00,8,Saree,2,41.16,Clothing,329
1001,324,2024-03-07,8:45:00,8,Spinach,2,181.65,Fruits & Vegetables,759
1001,324,2024-03-07,8:45:00,8,Face Wash,2,335.04,Personal Care,608
1001,324,2024-03-07,8:45:00,8,Energy Drink,3,292.11,Beverages,143
1001,324,2024-03-07,8:45:00,8,Mixer Grinder,1,479.36,Electronics,862
1001,324,2024-03-07,8:45:00,8,Fish,2,412.51,Meat & Seafood,519
1001,324,2024-03-07,8:45:00,8,Apple,2,163.93,Fruits & Vegetables,612
1002,332,2024-02-27,9:13:00,9,Cookies,3,466.75,Bakery,120
1002,332,2024-02-27,9:13:00,9,Chicken Breast,3,478.7,Meat & Seafood,787
1002,332,2024-02-27,9:13:00,9,Butter,2,130.36,Dairy & Eggs,796
1002,332,2024-02-27,9:13:00,9,Dress,3,285.18,Clothing,214
1003,431,2024-07-23,7:29:00,7,Vitamins,2,161.01,Health & Wellness,767
1003,431,2024-07-23,7:29:00,7,Dishwashing Liquid,3,364.58,Household,702
1003,431,2024-07-23,7:29:00,7,Apple,3,209.36,Fruits & Vegetables,783
1004,115,2024-06-18,15:03:00,15,Pastry,3,289.1,Bakery,574
1004,115,2024-06-18,15:03:00,15,Salt,1,176.26,Grains & Staples,308
1004,115,2024-06-18,15:03:00,15,Notebook,1,88.43,Stationery,297
1004,115,2024-06-18,15:03:00,15,Tissue,1,144.28,Household,764
1005,439,2024-02-08,22:23:00,22,Biscuits,3,49.11,Snacks,687
1005,439,2024-02-08,22:23:00,22,Cookies,1,447.7,Bakery,437
1005,439,2024-02-08,22:23:00,22,Energy Drink,1,66.94,Beverages,600
1005,439,2024-02-08,22:23:00,22,Chicken Breast,2,93.31,Meat & Seafood,512
1006,410,2024-09-26,7:45:00,7,Electric Kettle,3,215.85,Electronics,186
1006,410,2024-09-26,7:45:00,7,Face Wash,2,465.96,Personal Care,559
1006,410,2024-09-26,7:45:00,7,Croissant,3,73.61,Bakery,566
1007,406,2024-04-29,18:28:00,18,Electric Kettle,1,318.72,Electronics,762
1007,406,2024-04-29,18:28:00,18,Soda,3,272.41,Beverages,853
1007,406,2024-04-29,18:28:00,18,Earphones,2,353.38,Electronics,346
1008,129,2024-10-17,18:35:00,18,Cookies,3,480.61,Bakery,412
1008,129,2024-10-17,18:35:00,18,Wheat Flour,3,424.9,Grains & Staples,542
1008,129,2024-10-17,18:35:00,18,Onion,1,212.49,Fruits & Vegetables,871
1008,129,2024-10-17,18:35:00,18,Phone Cover,3,395.35,Electronics,389
1008,129,2024-10-17,18:35:00,18,Cooking Oil,3,359.96,Grains & Staples,252
1008,129,2024-10-17,18:35:00,18,Cookies,1,330.59,Bakery,299
1008,129,2024-10-17,18:35:00,18,Chicken Breast,2,313.65,Meat & Seafood,588
1009,366,2024-12-02,16:59:00,16,Chocolate,2,333.09,Snacks,399
1009,366,2024-12-02,16:59:00,16,Croissant,1,95.96,Bakery,952
1009,366,2024-12-02,16:59:00,16,Sugar,2,447.6,Grains & Staples,899
1010,76,2024-08-18,7:13:00,7,Soda,2,369.0,Beverages,734
1010,76,2024-08-18,7:13:00,7,Tea,2,381.68,Beverages,668
1010,76,2024-08-18,7:13:00,7,Carrot,3,186.53,Fruits & Vegetables,197
