Product Name,Category
wheat flour,Grains & Staples
dishwashing liquid,Household
pastry,Bakery & Snacks
marker,Stationery & Books
saree,Clothing & Lifestyle
spinach,Fruits & Vegetables
face wash,Personal Care & Health
energy drink,Beverages
mixer grinder,Electronics
fish,Meat & Seafood
apple,Fruits & Vegetables
cookies,Bakery & Snacks
chicken breast,Meat & Seafood
butter,Dairy & Eggs
dress,Clothing & Lifestyle
vitamins,Personal Care & Health
dishwashing liquid,Household
apple,Fruits & Vegetables
pastry,Bakery & Snacks
salt,Grains & Staples
notebook,Stationery & Books
tissue,Household
biscuits,Bakery & Snacks
cookies,Bakery & Snacks
energy drink,Beverages
chicken breast,Meat & Seafood
electric kettle,Electronics
face wash,Personal Care & Health
croissant,Bakery & Snacks
electric kettle,Electronics
soda,Beverages
earphones,Electronics
cookies,Bakery & Snacks
wheat flour,Grains & Staples
onion,Fruits & Vegetables
phone cover,Electronics
cooking oil,Grains & Staples
cookies,Bakery & Snacks
chicken breast,Meat & Seafood
chocolate,Bakery & Snacks
croissant,Bakery & Snacks
sugar,Grains & Staples
soda,Beverages
tea,Beverages
carrot,Fruits & Vegetables
yogurt,Dairy & Eggs
milk,Dairy & Eggs
soap,Personal Care & Health
chocolate,Bakery & Snacks
energy drink,Beverages
charger,Electronics
shampoo,Personal Care & Health
banana,Fruits & Vegetables
charger,Electronics
popcorn,Bakery & Snacks
chicken breast,Meat & Seafood
spinach,Fruits & Vegetables
rice,Grains & Staples
earphones,Electronics
pain reliever,Personal Care & Health
pen,Stationery & Books
sugar,Grains & Staples
lentils,Grains & Staples
floor cleaner,Household
tissue,Household
spinach,Fruits & Vegetables
shampoo,Personal Care & Health
coffee,Beverages
chocolate,Bakery & Snacks
tea,Beverages
face wash,Personal Care & Health
diapers,Personal Care & Health
notebook,Stationery & Books
baby food,Personal Care & Health
popcorn,Bakery & Snacks
chocolate,Bakery & Snacks
apple,Fruits & Vegetables
tea,Beverages
eggs,Dairy & Eggs
saree,Clothing & Lifestyle
fish,Meat & Seafood
vitamins,Personal Care & Health
biscuits,Bakery & Snacks
tissue,Household
tissue,Household
tomato,Fruits & Vegetables
mixer grinder,Electronics
tea,Beverages
banana,Fruits & Vegetables
cake,Bakery & Snacks
floor cleaner,Household
shoes,Clothing & Lifestyle
apple,Fruits & Vegetables
chocolate,Bakery & Snacks
popcorn,Bakery & Snacks
orange,Fruits & Vegetables
diapers,Personal Care & Health
pain reliever,Personal Care & Health
shirt,Clothing & Lifestyle
coffee,Beverages
dress,Clothing & Lifestyle
croissant,Bakery & Snacks
prawns,Meat & Seafood
juice,Beverages
shampoo,Personal Care & Health
rice,Grains & Staples
lentils,Grains & Staples
spices,Grains & Staples
pastry,Bakery & Snacks
tissue,Household
shampoo,Personal Care & Health
dress,Clothing & Lifestyle
electric kettle,Electronics
toilet paper,Household
orange,Fruits & Vegetables
dishwashing liquid,Household
chips,Bakery & Snacks
wheat flour,Grains & Staples
energy drink,Beverages
beef,Meat & Seafood
detergent,Household
tea,Beverages
chicken breast,Meat & Seafood
bread,Bakery & Snacks
potato,Fruits & Vegetables
shampoo,Personal Care & Health
toothpaste,Personal Care & Health
spinach,Fruits & Vegetables
croissant,Bakery & Snacks
spices,Grains & Staples
toothpaste,Personal Care & Health
spices,Grains & Staples
sugar,Grains & Staples
prawns,Meat & Seafood
marker,Stationery & Books
salt,Grains & Staples
dress,Clothing & Lifestyle
toothpaste,Personal Care & Health
floor cleaner,Household
educational book,Stationery & Books
pen,Stationery & Books
detergent,Household
butter,Dairy & Eggs
pasta,Grains & Staples
toilet paper,Household
salt,Grains & Staples
fiction book,Stationery & Books
spices,Grains & Staples
marker,Stationery & Books
chips,Bakery & Snacks
marker,Stationery & Books
dress,Clothing & Lifestyle
cooking oil,Grains & Staples
pasta,Grains & Staples
shoes,Clothing & Lifestyle
pastry,Bakery & Snacks
jeans,Clothing & Lifestyle
banana,Fruits & Vegetables
cookies,Bakery & Snacks
beef,Meat & Seafood
phone cover,Electronics
tea,Beverages
pastry,Bakery & Snacks
yogurt,Dairy & Eggs
spices,Grains & Staples
toilet paper,Household
soda,Beverages
electric kettle,Electronics
pen,Stationery & Books
popcorn,Bakery & Snacks
diapers,Personal Care & Health
detergent,Household
shoes,Clothing & Lifestyle
cookies,Bakery & Snacks
eggs,Dairy & Eggs
